Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Corolla XLi VVTi,Toyota,punjab,2010,Petrol,Manual,Attitude Black,Sedan,1300,210000,2300000
D-Max V-Cross Automatic 3.0,Isuzu,punjab,2020,Diesel,Automatic,Super White,Double Cabin,3000,108177,8600000
Harrier Hybrid Premium Advanced Package,Toyota,punjab,2014,Hybrid,Automatic,Black Pearl,SUV,2500,136243,12500000
Civic Oriel,Honda,punjab,2022,Petrol,Automatic,Crystal Black Pearl,Sedan,1500,37908,7500000
C-HR G-LED,Toyota,punjab,2018,Hybrid,Automatic,White Pearl,Crossover,1800,114522,8000000
Nx 300H Luxury,Lexus,punjab,2016,Hybrid,Automatic,EMINENT WHITE PEARL,SUV,2500,90944,22500000
Cultus VXL,Suzuki,punjab,2003,Petrol,Manual,Solid White,Hatchback,1000,17833,825000
D-Max V-Cross Automatic 3.0,Isuzu,punjab,2022,Diesel,Automatic,Black,Double Cabin,3000,107276,9300000
City 1.2L CVT,Honda,punjab,2021,Petrol,Automatic,Taffeta White,Compact sedan,1200,34622,4500000
Jimny,Suzuki,punjab,2020,Petrol,Manual,Green,Hatchback,660,25000,3875000
Serena e-POWER Highway Star,Nissan,punjab,2019,Hybrid,Automatic,Brilliant White,Van,1200,33492,7000000
Prius X 1.8,Toyota,punjab,2024,Hybrid,Automatic,Silver,Hatchback,1800,6483,13000000
Prius S Touring Selection,Toyota,punjab,2021,Hybrid,Automatic,Silver Metallic,Sedan,1800,47449,7800000
Cultus VXR,Suzuki,punjab,2006,Petrol,Manual,White,Hatchback,1000,12300,920000
Corolla XLi VVTi,Toyota,punjab,2010,Petrol,Manual,Attitude Black,Sedan,1300,210000,2300000
Vitz F 1.0,Toyota,punjab,2007,Petrol,Automatic,Polar White,Hatchback,1000,140000,2390000
Cultus VXR,Suzuki,punjab,2006,Petrol,Manual,Silver,Hatchback,1000,175000,850000
Mira X,Daihatsu,punjab,2007,Petrol,Automatic,Pearl White,Hatchback,660,98347,1700000
Prius G 1.8,Toyota,punjab,2009,Hybrid,Automatic,Silver Metallic,Sedan,1800,76191,4200000
Land Cruiser,Toyota,punjab,1997,Petrol,Automatic,Green,Hatchback,3400,143000,3600000
Hilux Revo V Automatic 2.8,Toyota,punjab,2018,Diesel,Automatic,Super White,Double Cabin,2800,94000,9995000
City Aspire Prosmatec 1.3 i-VTEC,Honda,punjab,2015,Petrol,Automatic,Lunar Silver Metallic,Sedan,1300,116,3200000
Civic RS,Honda,punjab,2024,Petrol,Automatic,White,Sedan,1500,7500,9450000
Q3 1.4 TFSI,Audi,punjab,2018,Petrol,Automatic,Glacier White Metallic,Crossover,1400,28000,11500000
Ek Wagon,Mitsubishi,punjab,2021,Petrol,Automatic,White,Hatchback,660,37000,3500000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2007,Petrol,Automatic,Black,Sedan,1800,196000,2295000
Alto TURBO RS,Suzuki,punjab,2014,Petrol,Automatic,Cerulean Blue,Hatchback,660,80000,2500000
Mehran VX Euro II,Suzuki,punjab,2014,Petrol,Manual,Graphite Grey,Hatchback,796,114000,1400000
3 Series,BMW,punjab,1993,Petrol,Automatic,White,Hatchback,3000,50000,2000000
Move X SA 2,Daihatsu,punjab,2022,Petrol,Automatic,Silver,Hatchback,658,46200,3650000
Civic VTi Oriel 1.6,Honda,punjab,2005,Petrol,Manual,Black,Sedan,1600,223869,1950000
Mehran VXR Euro II,Suzuki,punjab,2017,Petrol,Manual,Graphite Grey,Hatchback,796,85663,1570000
Clipper DX,Nissan,punjab,2012,Petrol,Automatic,Bright Silver Metallic,Micro Van,660,82000,1350000
Corolla XLi VVTi,Toyota,punjab,2009,Petrol,Manual,Attitude Black,Sedan,1300,200000,1975000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2008,Petrol,Automatic,Blue,Sedan,1800,223000,2350000
Corolla GLi 1.3 VVTi,Toyota,punjab,2010,Petrol,Manual,Medium Silver,Sedan,1300,250000,2050000
Corolla GLi Automatic 1.3 VVTi,Toyota,punjab,2015,Petrol,Automatic,Silver Metallic,Sedan,1300,75000,3950000
Swift DLX 1.3,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,1300,116971,2400000
HS 1.5 Turbo,MG,punjab,2021,Petrol,Automatic,Brixton Blue,Crossover,1490,23622,6050000
Vezel,Honda,punjab,2014,Hybrid,Automatic,Red,Hatchback,1500,123292,4500000
Vezel Hybrid Z,Honda,punjab,2015,Hybrid,Automatic,Misty Green Pearl,Crossover,1500,106354,5100000
Bravo Base Grade ,United,punjab,2019,Petrol,Manual,Silver,Hatchback,800,44491,900000
Corolla GLi Automatic 1.3 VVTi,Toyota,punjab,2015,Petrol,Automatic,Grey,Sedan,1300,164000,3695000
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2020,Petrol,Automatic,White,Sedan,1800,72000,3450000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Blue Dual Tone,Crossover,1000,29000,5690000
i5,BMW,punjab,2025,Electric,Automatic,Black,Hatchback,1000,100,43800000
Q3 1.4 TFSI,Audi,punjab,2015,Petrol,Automatic,Cobalt Blue Metallic,Crossover,1400,113457,8200000
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2015,Petrol,Automatic,Attitude Black,Sedan,1800,63000,4625000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2013,Petrol,Automatic,Black,Sedan,1800,82500,3325000
Yaris Hatchback X,Toyota,punjab,2021,Petrol,Automatic,White,Hatchback,1000,53000,4875000
Mehran VXR,Suzuki,punjab,2003,Petrol,Manual,Snow White Pearl,Hatchback,800,335022,580000
Vitz F 1.0,Toyota,punjab,2006,Petrol,Automatic,Silver,Hatchback,1000,82000,2280000
Yaris Hatchback X,Toyota,punjab,2022,Petrol,Automatic,Blue,Hatchback,1000,38000,4500000
Cultus EURO II,Suzuki,punjab,2015,Petrol,Manual,Graphite Grey,Hatchback,1000,222222,1625000
Khyber GA,Suzuki,punjab,1992,Petrol,Manual,White,Hatchback,1000,100000,465000
Bravo Base Grade ,United,punjab,2019,Petrol,Manual,White,Hatchback,800,819454,680000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Taffeta White,Sedan,1800,102546,5600000
Charade CX,Daihatsu,punjab,1993,Petrol,Manual,White,Hatchback,1000,4000,435000
City 1.2L CVT,Honda,punjab,2024,Petrol,Automatic,Crystal Black Pearl,Compact sedan,1200,12000,4750000
Mehran VX,Suzuki,punjab,2007,Petrol,Manual,Snow White Pearl,Hatchback,800,99900,650000
Benz E Class E250,Mercedes Benz,punjab,2010,Petrol,Automatic,Burgundy,Sedan,2100,98506,11500000
Wagon R VXL,Suzuki,punjab,2018,Petrol,Manual,Silky Silver,Hatchback,1000,57000,2470000
Corolla Altis Grande X CVT-i 1.8 Beige Interior,Toyota,punjab,2024,Petrol,Automatic,White,Sedan,1800,30000,7600000
Alto VXR,Suzuki,punjab,2025,Petrol,Manual,Solid White,Hatchback,660,3200,2900000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2020,Petrol,Automatic,Silver,Sedan,1800,74000,5700000
Cultus VXRi,Suzuki,punjab,2007,Petrol,Manual,Black,Hatchback,1000,86000,1150000
Mehran VXR Euro II,Suzuki,punjab,2013,Petrol,Manual,Solid White,Hatchback,796,48000,990000
Bolan VX Euro II,Suzuki,punjab,2015,Petrol,Manual,White,Van,800,27800,1450000
Mehran VXR (CNG),Suzuki,punjab,2007,Petrol,Manual,Silver Metallic,Hatchback,800,31888,780000
Tucson AWD A/T Ultimate (Black Interior),Hyundai,punjab,2023,Petrol,Automatic,Polar White,Crossover,2000,30000,8475000
Dayz X,Nissan,punjab,2022,Petrol,Automatic,White,Hatchback,660,15500,3800000
Land Cruiser ZX,Toyota,punjab,2012,Petrol,Automatic,White White Pearl Crystal Shine,SUV,4600,125000,25000000
Civic EXi,Honda,punjab,2006,Petrol,Manual,Shalimar Rose,Sedan,1500,78000,1580000
Cuore CX Eco,Daihatsu,punjab,2008,Petrol,Manual,White,Hatchback,800,75000,1000000
Corolla GLi 1.3 VVTi,Toyota,punjab,2009,Petrol,Manual,Grey,Sedan,1300,87000,2280000
Yaris Hatchback X,Toyota,punjab,2021,Petrol,Automatic,White,Hatchback,1000,53000,4875000
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2020,Petrol,Automatic,Super white,Sedan,1800,95000,5750000
City 1.3 i-VTEC Prosmatec,Honda,punjab,2020,Petrol,Automatic,White,Sedan,1300,87000,4155000
C-HR 1.2 Turbo,Toyota,punjab,2018,Petrol,Automatic,Silver,Crossover,1200,92000,8500000
Surf SSR-X 3.0D,Toyota,punjab,2004,Diesel,Automatic,Grayish Blue Metallic,SUV,3000,170000,6800000
Prado TX 2.7,Toyota,punjab,2016,Petrol,Automatic,Attitude Black Mica,SUV,2700,95000,19000000
Land Cruiser,Toyota,punjab,2016,Petrol,Automatic,Grey,Hatchback,3400,417,6000000
HS,MG,punjab,2021,Petrol,Automatic,White,Hatchback,1500,35000,6300000
Prado TX L Package 2.7,Toyota,punjab,2017,Petrol,Automatic,White,SUV,2700,60000,25000000
Every Wagon,Suzuki,punjab,2016,Petrol,Automatic,Black,Hatchback,660,60000,2800000
Dayz,Nissan,punjab,2020,Petrol,Automatic,White,Hatchback,660,40000,3800000
Clipper,Nissan,punjab,2020,Petrol,Automatic,Silver,Hatchback,660,85000,2730000
Civic EXi,Honda,punjab,2006,Petrol,Manual,Shalimar Rose,Sedan,1500,78000,1580000
Cuore CX Eco,Daihatsu,punjab,2008,Petrol,Manual,White,Hatchback,800,75000,1000000
Corolla GLi 1.3 VVTi,Toyota,punjab,2009,Petrol,Manual,Grey,Sedan,1300,87000,2280000
Mehran VXR Euro II,Suzuki,punjab,2016,Petrol,Manual,Gold,Hatchback,796,66000,1050000
Terios Kid L,Daihatsu,punjab,2005,Petrol,Automatic,Silver,SUV,660,609800,2100000
Alto VX,Suzuki,punjab,2024,Petrol,Manual,White,Hatchback,660,6000,2550000
Swift DLX Automatic 1.3 Navigation,Suzuki,punjab,2018,Petrol,Automatic,Solid White,Hatchback,1300,26000,3400000
Wagon R VXR,Suzuki,punjab,2018,Petrol,Manual,Solid White,Hatchback,1000,190000,2230000
N One G,Honda,punjab,2013,Petrol,Automatic,Premium White Pearl,Hatchback,660,145000,2400000
Civic VTi Prosmatec 1.8 i-VTEC,Honda,punjab,2008,Petrol,Automatic,Taffeta White,Sedan,1800,98000,2700000
Land Cruiser ZX,Toyota,punjab,2016,Petrol,Automatic,White Pearl Crystal Shine,SUV,4600,68000,37475000
Fortuner Legender ,Toyota,punjab,2023,Diesel,Automatic,Attitude Black,SUV,2800,24500,18000000
City,Honda,punjab,2010,Petrol,Manual,Black,Hatchback,1300,300000,2400000
Corolla Altis 1.6 X CVT-i Special Edition,Toyota,punjab,2022,Petrol,Automatic,Super White,Sedan,1600,53000,6325000
Corolla GLi 1.3 VVTi,Toyota,punjab,2013,Petrol,Manual,Maroon,Sedan,1300,158000,2550000
City i-DSI,Honda,punjab,2008,Petrol,Manual,Black,Sedan,1300,173000,1800000
Taycan 4S,Porsche,punjab,2024,Electric,Automatic,Black,Sedan,1000,3499,56500000
N Wgn G,Honda,punjab,2020,Petrol,Automatic,Green,Hatchback,660,63500,3350000
Potohar Basegrade,Suzuki,punjab,2020,Petrol,Manual,White,SUV,1000,150000,1250000
X70 Premium FWD,Proton,punjab,2022,Petrol,Automatic,White,SUV,1500,27000,7150000
Clipper,Nissan,punjab,2012,Petrol,Automatic,Silver,Hatchback,660,82000,1350000
Land Cruiser AX G Selection,Toyota,punjab,2012,Petrol,Automatic,Black,SUV,4600,97000,23900000
Prado TX Limited 2.7,Toyota,punjab,2012,Petrol,Automatic,White,SUV,2700,90000,16900000
City Aspire Prosmatec 1.3 i-VTEC,Honda,punjab,2017,Petrol,Automatic,Taffeta White,Sedan,1300,106300,3750000
Benz S Class S500,Mercedes Benz,punjab,2006,Petrol,Automatic,Black,Sedan,5500,150000,10900000
Every Wagon,Suzuki,punjab,2020,Petrol,Automatic,Silver,Hatchback,660,98000,3300000
Raize XS,Toyota,punjab,2020,Petrol,Automatic,Silver,Compact SUV,1000,88000,4890000
Wagon R VXR,Suzuki,punjab,2021,Petrol,Manual,Solid White,Hatchback,1000,71600,2499000
Civic VTi 1.8 i-VTEC,Honda,punjab,2010,Petrol,Manual,Grey,Sedan,1800,90000,2300000
Crown Royal Saloon,Toyota,punjab,2003,Petrol,Automatic,White Pearl Crystal Shine,Sedan,2500,135000,4700000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2017,Petrol,Automatic,Taffeta White,Sedan,1800,153000,4490000
EK Custom G,Mitsubishi,punjab,2014,Petrol,Automatic,White,Hatchback,660,130000,2400000
Elantra GLS,Hyundai,punjab,2023,Petrol,Automatic,Silver,Sedan,2000,18392,6500000
City Aspire Prosmatec 1.5 i-VTEC,Honda,punjab,2019,Petrol,Automatic,White,Sedan,1500,80000,4200000
C-HR G-LED,Toyota,punjab,2019,Hybrid,Automatic,Black,Crossover,1800,57000,8575000
Corolla GLi 1.3 VVTi,Toyota,punjab,2010,Petrol,Manual,Black,Sedan,1300,151000,2650000
Alto Hybrid S,Suzuki,punjab,2023,Hybrid,Automatic,White,Hatchback,660,4196,3650000
Fit Shuttle Hybrid,Honda,punjab,2015,Hybrid,Automatic,Silver,Station Wagon,1500,125000,4000000
Corolla GLi 1.3 VVTi,Toyota,punjab,2012,Petrol,Manual,Medium Silver,Sedan,1300,280000,2530000
Every PA,Suzuki,punjab,2007,Petrol,Manual,Silky Silver Metallic,Micro Van,660,25802,1550000
Mira X SA lll,Daihatsu,punjab,2021,Petrol,Automatic,Shining Red,Hatchback,660,26046,3300000
Fit 1.5 Hybrid Smart Selection,Honda,punjab,2014,Hybrid,Automatic,White,Hatchback,1500,97718,3200000
Corolla Altis X Automatic 1.6,Toyota,punjab,2021,Petrol,Automatic,Super White,Sedan,1598,45000,5750000
Mira,Daihatsu,punjab,2021,Petrol,Automatic,White,Hatchback,660,55000,3250000
Yaris Hatchback G 1.0,Daihatsu,punjab,2020,Petrol,Automatic,Silver,Hatchback,1000,18000,3250000
Corolla XLi,Toyota,punjab,2007,Petrol,Manual,White,Sedan,1300,350000,1775000
City 1.3 i-VTEC Prosmatec,Honda,punjab,2018,Petrol,Automatic,Taffeta White,Sedan,1300,70000,3800000
Alto VXR AGS,Suzuki,punjab,2024,Petrol,Automatic,White,Hatchback,660,18000,2950000
Benz E Class E 200 Kompressor Elegance,Mercedes Benz,punjab,2008,Petrol,Automatic,Diamond Silver Metallic,Sedan,1800,123000,5900000
Vezel Hybrid Z Style Edition,Honda,punjab,2019,Hybrid,Automatic,Ruse Black Metallic,Crossover,1500,149347,7900000
Benz C Class C180,Mercedes Benz,punjab,2015,Petrol,Automatic,Polar White,Sedan,1600,61000,13600000
Civic RS,Honda,punjab,2023,Petrol,Automatic,Taffeta White,Sedan,1500,700,9550000
Alto VXL AGS,Suzuki,punjab,2023,Petrol,Automatic,Silky Silver,Hatchback,660,23000,2845000
Wagon R VXL,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,1000,9000,1880000
Alto VXR,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,59000,2525000
Cultus VXL,Suzuki,punjab,2006,Petrol,Manual,Beige,Hatchback,1000,65000,1100000
Santro Exec GV,Hyundai,punjab,2006,Petrol,Automatic,Grey,Hatchback,1000,95000,1350000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Taffeta White,Sedan,1800,135000,5900000
Corolla XLi VVTi,Toyota,punjab,2011,Petrol,Manual,White,Sedan,1300,100000,2350000
Land Cruiser AX G Selection,Toyota,punjab,2016,Petrol,Automatic,Attitude Black Mica,SUV,4600,101000,33500000
Fortuner 2.7 VVTi,Toyota,punjab,2017,Petrol,Automatic,Attitude Black,SUV,2700,57628,11000000
Sportage FWD,KIA,punjab,2021,Petrol,Automatic,Fery Red,Crossover,2000,45000,6400000
Yaris Sedan ATIV X CVT 1.5,Toyota,punjab,2023,Petrol,Automatic,Black,Sedan,1500,24000,5350000
Shehzore Pickup H-100 (With Deck and Side Wall),Hyundai,punjab,2005,Diesel,Manual,Blue,Pick Up,2600,100000,2500000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Pearl White,Crossover,1000,80000,5900000
C-HR S-GR Package,Toyota,punjab,2020,Hybrid,Automatic,White,SUV,1800,85000,10000000
Fortuner 2.8 Sigma 4,Toyota,punjab,2022,Diesel,Automatic,Attitude Black,SUV,2800,34469,16500000
Dayz Highway Star G,Nissan,punjab,2022,Hybrid,Automatic,Grey,Hatchback,660,12000,4000000
Bravo Base Grade ,United,punjab,2019,Petrol,Manual,White,Hatchback,800,47743,800000
Swift DX 1.3,Suzuki,punjab,2012,Petrol,Manual,Pearl Red,Hatchback,1300,188250,1900000
Corolla GLi 1.3 VVTi,Toyota,punjab,2011,Petrol,Manual,White,Sedan,1300,127000,2350000
Benz C Class C180 Avantgarde,Mercedes Benz,punjab,2017,Petrol,Automatic,White,Sedan,1600,85000,15700000
Ek Wagon G Safety Plus Edition,Mitsubishi,punjab,2013,Petrol,Automatic,Blue,Hatchback,660,96500,2350000
Civic 1.5 RS Turbo,Honda,punjab,2020,Petrol,Automatic,Taffeta White,Sedan,1500,98609,6100000
Land Cruiser AX G Selection,Toyota,punjab,2016,Petrol,Automatic,Attitude Black Mica,SUV,4600,101000,33500000
Fortuner 2.7 VVTi,Toyota,punjab,2017,Petrol,Automatic,Attitude Black,SUV,2700,57628,11000000
Sportage FWD,KIA,punjab,2021,Petrol,Automatic,Fery Red,Crossover,2000,45000,6400000
Corolla Altis Automatic 1.6,Toyota,punjab,2019,Petrol,Automatic,Graphite Grey,Sedan,1600,86000,4625000
Corolla XLi VVTi,Toyota,punjab,2011,Petrol,Manual,Gun Metallic,Sedan,1300,250000,2180000
BR-V i-VTEC S,Honda,punjab,2018,Petrol,Automatic,Taffeta White,MPV,1500,58000,4500000
Picanto 1.0 AT,KIA,punjab,2021,Petrol,Automatic,White,Hatchback,1000,38450,3020000
Mehran VX,Suzuki,punjab,2010,Petrol,Manual,Snow White Pearl,Hatchback,800,76000,1250000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2017,Petrol,Automatic,Black,Sedan,1800,94000,5000000
Vezel Hybrid RS Honda Sensing ,Honda,punjab,2018,Hybrid,Automatic,White Orchid Pearl,Crossover,1500,62000,7500000
Alto VXR,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,55000,2475000
Swift DLX Automatic 1.3,Suzuki,punjab,2014,Petrol,Automatic,Graphite Grey,Hatchback,1300,100000,2375000
City 1.3 i-VTEC Prosmatec,Honda,punjab,2013,Petrol,Automatic,Lunar Silver Metallic,Sedan,1300,136000,3200000
Civic Turbo 1.5 VTEC CVT,Honda,punjab,2016,Petrol,Automatic,Crystal Black Pearl,Sedan,1500,150000,5000000
Corolla GLi 1.3 VVTi,Toyota,punjab,2010,Petrol,Manual,Medium Silver,Sedan,1300,250000,2050000
Civic Oriel Prosmatec UG,Honda,punjab,2013,Petrol,Automatic,Taffeta White,Sedan,1800,115000,3500000
Alto VXR,Suzuki,punjab,2007,Petrol,Manual,Graphite Grey,Hatchback,1000,230000,950000
Yaris Sedan ATIV CVT 1.3,Toyota,punjab,2021,Petrol,Automatic,Grey Graphite,Sedan,1300,57000,4450000
City 1.3 i-VTEC,Honda,punjab,2014,Petrol,Manual,Crystal Black Pearl,Sedan,1300,98000,2925000
Swift DLX Automatic 1.3 Navigation,Suzuki,punjab,2017,Petrol,Automatic,Solid White,Hatchback,1300,115000,2860000
Dayz Highway Star G,Nissan,punjab,2015,Petrol,Automatic,Brown,Hatchback,660,156831,2450000
Civic EXi,Honda,punjab,2000,Petrol,Manual,Silver,Sedan,1500,60000,1625000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2014,Petrol,Automatic,White,Sedan,1800,127510,3500000
MR Wagon X IDLING STOP,Suzuki,punjab,2012,Petrol,Automatic,Pearl White,Mini Van,660,113000,1850000
Bolan VX Euro II,Suzuki,punjab,2022,Petrol,Manual,Solid White,Van,800,72000,1900000
Mehran VXR Euro II,Suzuki,punjab,2016,Petrol,Manual,Solid White,Hatchback,796,50000,1070000
Corolla GLi 1.3 VVTi,Toyota,punjab,2009,Petrol,Manual,Black,Sedan,1300,115919,2650000
Land Cruiser ZX,Toyota,punjab,2019,Petrol,Automatic,White Pearl Crystal Shine,SUV,4600,30000,46300000
Alto VXL AGS,Suzuki,punjab,2021,Petrol,Automatic,Silver,Hatchback,660,49000,2690000
Benz S Class S 320,Mercedes Benz,punjab,2002,Petrol,Automatic,Golden,Sedan,3199,108000,4200000
Prado TX L Package 2.7,Toyota,punjab,2016,Petrol,Automatic,White Pearl Crystal Shine,SUV,2700,106907,23200000
H6 HEV,Haval,punjab,2024,Hybrid,Automatic,Black,Compact SUV,1500,19000,11900000
Taycan Base Model,Porsche,punjab,2022,Electric,Automatic,White,Sedan,1000,13000,35500000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Black,Crossover,1000,16000,6250000
City Aspire 1.5 i-VTEC,Honda,punjab,2015,Petrol,Manual,Taffeta White,Sedan,1500,103144,3325000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,44000,6050000
Oshan X7 Comfort,Changan,punjab,2022,Petrol,Automatic,Lunar Silver,Compact SUV,1500,125722,7200000
Bolan VX Euro II,Suzuki,punjab,2022,Petrol,Manual,Solid White,Van,800,72000,1900000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800,115000,5395000
Mehran,Suzuki,punjab,2007,Petrol,Manual,White,Hatchback,1200,1234,750000
2008 Active,Peugeot,punjab,2023,Petrol,Automatic,Cherry Black,Crossover,1200,31500,5795000
Hilux Vigo V,Toyota,punjab,2007,Petrol,Automatic,Strong Blue,Single Cabin,2500,135000,4550000
Sportage AWD,KIA,punjab,2024,Petrol,Automatic,White,Crossover,2000,10200,9400000
Note,Nissan,punjab,2020,Hybrid,Automatic,Black,Hatchback,1200,53000,5500000
Land Cruiser,Toyota,punjab,1994,Diesel,Automatic,Brown,Hatchback,4200,53000,4200000
Corolla Altis SR Cruisetronic 1.8,Toyota,punjab,2009,Petrol,Automatic,Grey,Sedan,1800,183345,3500000
Alto VXR,Suzuki,punjab,2023,Petrol,Manual,Solid White,Hatchback,660,48000,2750000
City 1.5L ASPIRE CVT,Honda,punjab,2021,Petrol,Automatic,Meteoroid Grey Metallic,Compact sedan,1500,42000,4775000
Cast Style X SA III,Daihatsu,punjab,2021,Petrol,Automatic,Burgundy,Hatchback,660,22000,3250000
Margalla GL,Suzuki,punjab,1995,Petrol,Manual,Black,Sedan,1300,100000,500000
T9 Hunter,JAC,punjab,2025,Diesel,Automatic,Black,Pick Up,2000,10,10850000
Mehran VXR,Suzuki,punjab,2006,Petrol,Manual,Silver Metallic,Hatchback,800,99999,550000
City 1.3 i-VTEC,Honda,punjab,2018,Petrol,Manual,Taffeta White,Sedan,1300,120799,3350000
H6 1.5T,Haval,punjab,2022,Petrol,Automatic,White,Compact SUV,1500,9329,8800000
Corolla Altis X Automatic 1.6,Toyota,punjab,2021,Petrol,Automatic,Attitude Black,Sedan,1598,42686,5450000
Yaris Sedan ATIV MT 1.3,Toyota,punjab,2021,Petrol,Manual,Super White,Sedan,1300,44000,4150000
T9 Hunter,JAC,punjab,2025,Diesel,Automatic,White,Pick Up,2000,25,11400000
C-HR G-LED,Toyota,punjab,2018,Hybrid,Automatic,White,Crossover,1800,55000,10500000
Mehran VXR Euro II,Suzuki,punjab,2018,Petrol,Manual,White,Hatchback,800,97000,1400000
Corolla Altis Grande X CVT-i 1.8 Black Interior,Toyota,punjab,2023,Petrol,Automatic,Super white,Sedan,1800,44000,7290000
Vitz,Toyota,punjab,2011,Petrol,Automatic,Silver,Hatchback,1000,96040,2775000
Civic Oriel Prosmatec UG,Honda,punjab,2013,Petrol,Automatic,Taffeta White,Sedan,1800,110000,3350000
City Aspire 1.5 i-VTEC,Honda,punjab,2015,Petrol,Manual,Taffeta White,Sedan,1500,103144,3325000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,44000,6050000
Oshan X7 Comfort,Changan,punjab,2022,Petrol,Automatic,Lunar Silver,Compact SUV,1500,125722,7200000
Raize Z,Toyota,punjab,2021,Petrol,Automatic,Black Mica Metallic,Crossover,1000,44000,6450000
Sportage AWD,KIA,punjab,2021,Petrol,Automatic,White,Crossover,2000,78000,7200000
7 Series i7 xDrive60 M Pro Package,BMW,punjab,2023,Electric,Automatic,White,Sedan,1000,1300,56500000
Prado TX 2.7,Toyota,punjab,2012,Petrol,Automatic,Pearl White,SUV,2700,100000,15500000
Boon Cilq,Daihatsu,punjab,2019,Petrol,Automatic,Beige,Hatchback,1000,55000,3950000
Fortuner 2.8 Sigma 4,Toyota,punjab,2020,Diesel,Automatic,White,SUV,2800,70000,14200000
Hilux Revo V Automatic 2.8,Toyota,punjab,2022,Diesel,Automatic,White,Double Cabin,2800,42000,13000000
Benz C Class Cabriolet C 180,Mercedes Benz,punjab,2018,Petrol,Automatic,Obsidian Black Metallic,Convertible,1600,67409,21000000
Civic RS,Honda,punjab,2023,Petrol,Automatic,Black,Sedan,1500,28000,9100000
Corolla Altis Grande X CVT-i 1.8 Black Interior,Toyota,punjab,2023,Petrol,Automatic,Super white,Sedan,1800,44000,7290000
Vitz,Toyota,punjab,2011,Petrol,Automatic,Silver,Hatchback,1000,96040,2775000
Civic Oriel Prosmatec UG,Honda,punjab,2013,Petrol,Automatic,Taffeta White,Sedan,1800,110000,3350000
Cultus VXR,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000,60000,3100000
Corolla Cross 1.8 HEV X,Toyota,punjab,2024,Hybrid,Automatic,Platinum White Pearl,SUV,1800,2900,9300000
Mehran VXR Euro II,Suzuki,punjab,2014,Petrol,Manual,Grey,Hatchback,800,38628,1500000
Santro Exec,Hyundai,punjab,2006,Petrol,Manual,Silver,Hatchback,1000,11111,1099999
Corolla GLi 1.3 VVTi,Toyota,punjab,2020,Petrol,Manual,Grey,Sedan,1300,70000,4480000
Cultus VXRi,Suzuki,punjab,2008,Petrol,Manual,Blue,Hatchback,1000,110000,1110000
Mehran VXR,Suzuki,punjab,2012,Petrol,Manual,Gray Metallic,Hatchback,800,50000,800000
A5 1.4 TFSI Sportback,Audi,punjab,2018,Petrol,Automatic,White,Sedan,1400,95434,14500000
Alto VX,Suzuki,punjab,2022,Petrol,Manual,Pearl Black,Hatchback,660,40612,2325000
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2016,Petrol,Automatic,White,Sedan,1800,154000,4500000
Dayz Highway Star G,Nissan,punjab,2021,Hybrid,Automatic,Black,Hatchback,660,2000,3650000
City 1.3 i-VTEC,Honda,punjab,2019,Petrol,Manual,Lunar Silver Metallic,Sedan,1300,85000,3900000
Ravi,Suzuki,punjab,2007,Petrol,Manual,White,Hatchback,800,123456,750000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2016,Petrol,Automatic,Crystal Black,Sedan,1800,160000,3850000
Karvaan Plus,Changan,punjab,2021,Petrol,Manual,White,Mini Van,1000,69000,2450000
Cultus EURO II,Suzuki,punjab,2015,Petrol,Manual,Solid White,Hatchback,1000,1,1785000
